"","response","Freq","nWords","isASCII"
"1","musica",580,1,1
"2","alegria",327,1,1
"3","futbol",282,1,1
"4","policia",243,1,1
"5","arbol",211,1,1
"6","rapido",206,1,1
"7","dia",181,1,1
"8","carcel",156,1,1
"9","diversion",152,1,1
"10","pais",139,1,1
"11","omnibus",137,1,1
"12","avion",136,1,1
"13","marron",120,1,1
"14","uruguay",120,1,1
"15","religion",116,1,1
"16","lapiz",112,1,1
"17","dificil",111,1,1
"18","pelicula",111,1,1
"19","pajaro",105,1,1
"20","comunicacion",92,1,1
"21","informacion",90,1,1
"22","vacio",90,1,1
"23","corazon",85,1,1
"24","energia",84,1,1
"25","telefono",83,1,1
"26","television",83,1,1
"27","tal vez",82,2,1
"28","mamifero",81,1,1
"29","educacion",80,1,1
"30","union",78,1,1
"31","accion",76,1,1
"32","reunion",75,1,1
"33","unico",74,1,1
"34","politica",73,1,1
"35","emocion",68,1,1
"36","numeros",66,1,1
"37","proteccion",66,1,1
"38","cafe",65,1,1
"39","util",64,1,1
"40","pantalon",61,1,1
"41","oir",59,1,1
"42","cancion",57,1,1
"43","facil",57,1,1
"44","solucion",57,1,1
"45","atencion",56,1,1
"46","jardin",54,1,1
"47","sabiduria",53,1,1
"48","matematica",52,1,1
"49","oceano",52,1,1
"50","reir",52,1,1
"51","comun",51,1,1
"52","pasion",51,1,1
"53","ladron",49,1,1
"54","oido",49,1,1
"55","dias",48,1,1
"56","lider",48,1,1
"57","atras",47,1,1
"58","direccion",47,1,1
"59","exito",47,1,1
"60","obligacion",47,1,1
"61","compañia",45,1,0
"62","desafio",44,1,1
"63","politico",43,1,1
"64","azucar",42,1,1
"65","investigacion",42,1,1
"66","relacion",42,1,1
"67","vehiculo",42,1,1
"68","despues",41,1,1
"69","estres",41,1,1
"70","tunica",41,1,1
"71","montevideo",39,1,1
"72","armonia",38,1,1
"73","tecnologia",38,1,1
"74","camion",37,1,1
"75","vision",37,1,1
"76","busqueda",36,1,1
"77","comodo",36,1,1
"78","separacion",36,1,1
"79","africa",35,1,1
"80","matematicas",35,1,1
"81","opcion",35,1,1
"82","tv",35,1,1
"83","españa",34,1,0
"84","expresion",34,1,1
"85","peñarol",34,1,0
"86","prision",34,1,1
"87","construccion",33,1,1
"88","fria",33,1,1
"89","bateria",32,1,1
"90","imaginacion",31,1,1
"91","aca",30,1,1
"92","economia",30,1,1
"93","jesus",30,1,1
"94","paises",30,1,1
"95","razon",30,1,1
"96","ubicacion",30,1,1
"97","australia",29,1,1
"98","camara",29,1,1
"99","egipto",29,1,1
"100","facebook",29,1,1
"101","fisica",29,1,1
"102","habitacion",29,1,1
"103","interes",29,1,1
"104","MUSICA",29,1,1
"105","perdon",29,1,1
"106","simpatico",29,1,1
"107","division",28,1,1
"108","estados unidos",28,2,1
"109","sosten",28,1,1
"110","varon",28,1,1
"111","guia",27,1,1
"112","organizacion",27,1,1
"113","simbolo",27,1,1
"114","situacion",27,1,1
"115","acido",26,1,1
"116","organo",26,1,1
"117","traicion",26,1,1
"118","aire libre",25,2,1
"119","dulce de leche",25,3,1
"120","pajaros",25,1,1
"121","plastico",25,1,1
"122","sillon",25,1,1
"123","via",25,1,1
"124","cancer",24,1,1
"125","fantasia",24,1,1
"126","fisico",24,1,1
"127","miercoles",24,1,1
"128","puede ser",24,2,1
"129","sensacion",24,1,1
"130","ser humano",24,2,1
"131","unica",24,1,1
"132","cajon",23,1,1
"133","carton",23,1,1
"134","eleccion",23,1,1
"135","jabon",23,1,1
"136","maiz",23,1,1
"137","satisfaccion",23,1,1
"138","america",22,1,1
"139","conversacion",22,1,1
"140","credito",22,1,1
"141","decision",22,1,1
"142","oracion",22,1,1
"143","quizas",22,1,1
"144","debil",21,1,1
"145","explosion",21,1,1
"146","tio",21,1,1
"147","agil",20,1,1
"148","ALEGRIA",20,1,1
"149","analisis",20,1,1
"150","aqui",20,1,1
