"","cue","coverage","H","unknown","N"
"1","a",36.9565217391304,2.31301371527505,2,48
"2","abajo",71.4285714285714,2.32172093921194,2,51
"3","abandonar",74.5098039215686,2.29958084166658,0,51
"4","abeja",64,2.3046377491424,0,50
"5","abierta",80.7692307692308,2.40624094255476,1,53
"6","abierto",85.4545454545455,1.94578636442085,1,56
"7","abogado",57.8947368421053,3.15298402069411,0,57
"8","abra",51.8518518518518,2.64124094886941,2,56
"9","abrazo",77.5510204081633,2.40067689799717,1,50
"10","abrigo",70.1754385964912,2.59724532071812,0,57
"11","abril",56.8627450980392,1.91923847629757,0,51
"12","abrir",37.2549019607843,2.16607730887619,0,51
"13","abuela",64.8148148148148,3.10465849179317,0,54
"14","abuelo",72.7272727272727,3.27129118380612,1,56
"15","aburrido",45.8333333333333,3.48484528510949,3,51
"16","acá",74,2.31235426248906,2,52
"17","acabado",71.6981132075472,2.15285581881095,1,54
"18","acabo",47.1698113207547,2.81257591533186,1,54
"19","acceso",66,2.77934797787599,1,51
"20","accidente",62.7450980392157,2.73527555515507,0,51
"21","acción",64.5833333333333,3.00071393017509,1,49
"22","acciones",37.2549019607843,3.54101447195093,0,51
"23","actitud",50,3.42581090933719,1,55
"24","actividad",68,3.00560721924834,0,50
"25","acto",70.1754385964912,2.97598637624639,0,57
"26","actor",79.2452830188679,2.91234198667743,3,56
"27","actriz",66,3.06903632309084,0,50
"28","acuerdo",65.4545454545455,3.05831426547006,0,55
"29","acusado",68.4210526315789,2.93024876716921,0,57
"30","adelante",67.9245283018868,3.02381410127642,0,53
"31","adentro",78.7234042553192,2.75676005070507,2,49
"32","adiós",25,1.51846704268006,0,48
"33","adulto",89.7959183673469,2.47751685929956,1,50
"34","advertencia",72.5490196078431,2.53760665827401,0,51
"35","aeropuerto",75.8620689655172,2.12134864870539,0,58
"36","afecto",88.4615384615385,1.98455009996748,0,52
"37","afuera",85.4545454545455,2.64563669725338,0,55
"38","agarrar",58,2.36550105567817,1,51
"39","agenda",38.7755102040816,3.59822454800933,0,49
"40","agente",57.6923076923077,3.47137259357839,1,53
"41","agradable",62.7450980392157,2.70042440146057,0,51
"42","agua",49.1228070175439,3.42090595647114,0,57
"43","águila",64,2.87998962534524,1,51
"44","aguja",38,2.63494467416731,1,51
"45","agujero",77.1929824561403,2.0325988284861,0,57
"46","ahí",71.1538461538462,2.82263627928947,1,53
"47","ahora",91.0714285714286,1.78995654345771,0,56
"48","aire",71.4285714285714,2.96645952071156,0,56
"49","al",42.5531914893617,3.45019555112413,4,51
"50","alarma",78.5714285714286,3.10489521036637,0,56
"51","alcalde",50,3.16805555288448,1,53
"52","alcance",63.8297872340426,3.44443860209117,1,48
"53","alcohol",70.3703703703704,2.96532624330417,1,55
"54","alegra",65.9574468085106,3.09624805466798,2,49
