"","cue","coverage","H","unknown","xR2","xR3","N"
"1","a",37.9310344827586,3.25643430963731,2,5,41,144
"2","abajo",72.0430107526882,3.44724471536333,2,6,42,153
"3","abandonar",59,3.5144280619782,0,2,49,153
"4","abanico",68,3.08742021686446,0,2,49,153
"5","abeja",54.4554455445545,3.212695741294,0,0,49,150
"6","abierta",72.9166666666667,3.35841975202107,1,8,44,159
"7","abierto",80.7692307692308,3.22464185594285,1,6,49,168
"8","abogado",56.25,4.00153421642683,0,3,53,171
"9","abra",62.7450980392157,3.53258833175766,2,9,42,168
"10","abrazo",79.3814432989691,3.23682634331115,1,1,48,150
"11","abrigo",66.9642857142857,3.30890700838297,0,2,55,171
"12","abril",57.2916666666667,2.92560077378524,0,8,41,153
"13","abrir",44.4444444444444,3.34233669473244,0,4,46,153
"14","abuela",59.6330275229358,3.87655562027004,0,1,51,162
"15","abuelo",60.5504587155963,4.04991316048396,1,1,54,168
"16","aburrido",45.9770114942529,4.0327745636034,3,10,37,153
"17","acá",71.2765957446808,3.15114563167648,2,7,42,156
"18","acabado",63.1067961165049,3.25933402783464,1,3,50,162
"19","acabo",49.5049504950495,3.56532700095789,1,6,46,162
"20","acceso",66.6666666666667,3.47878927145008,1,1,49,153
"21","accidente",64.6464646464647,3.69651721279483,0,3,48,153
"22","acción",59.7826086956522,3.59275039709851,1,5,42,147
"23","acciones",40.4040404040404,4.048666401427,0,3,48,153
"24","actitud",50.4761904761905,4.12733724119201,1,4,49,165
"25","actividad",54.9450549450549,3.53855879691376,0,9,41,150
"26","acto",63.716814159292,3.7545505903075,0,1,56,171
"27","actor",69.1588785046729,3.55166703690649,3,0,52,168
"28","actriz",58.7628865979381,3.77414724483821,0,4,45,150
"29","acuerdo",62.962962962963,3.84600362949098,0,2,53,165
"30","acusado",65.7657657657658,3.64011050792216,0,3,54,171
"31","adelante",66.0194174757282,3.77672575547068,0,3,50,159
"32","adentro",70.1149425287356,3.49426518075307,2,7,40,147
"33","adiós",34.4444444444444,2.71360851682403,0,6,42,144
"34","adulto",77.319587628866,3.25296964877677,1,1,48,150
"35","advertencia",71.1340206185567,3.22598834344193,0,5,46,153
"36","aeropuerto",66.9565217391304,3.41711461970243,0,1,57,174
"37","afecto",81.7307692307692,3.22954633356091,0,0,52,156
