"","response","Freq.R1","Types.R1","Freq.R123","Types.R123"
"1","agua",705,126,1116,205
"2","animal",854,118,1067,149
"3","amor",614,157,1047,315
"4","comida",627,140,951,229
"5","música",576,86,817,140
"6","trabajo",457,150,813,287
"7","dinero",458,104,735,175
"8","verde",388,109,709,188
"9","tiempo",359,107,660,221
"10","mujer",418,116,632,173
"11","casa",358,130,616,239
"12","lugar",331,124,586,218
"13","grande",339,131,579,226
"14","vida",246,147,564,300
"15","dolor",273,92,543,184
"16","luz",342,74,538,146
"17","calor",254,66,517,158
"18","muerte",327,80,512,139
"19","persona",304,142,500,233
"20","auto",351,75,495,118
"21","ropa",296,69,460,119
"22","juego",268,78,459,154
"23","alegría",234,103,451,201
"24","lindo",264,113,439,210
"25","rojo",228,87,434,163
"26","blanco",201,99,431,199
"27","mar",224,65,429,116
"28","felicidad",175,92,414,191
"29","familia",155,71,412,188
"30","miedo",226,76,411,169
"31","hombre",238,95,407,166
"32","sol",187,66,402,143
"33","color",226,57,398,118
"34","plata",241,73,375,127
"35","negro",185,83,373,170
"36","frio",225,52,370,99
"37","fútbol",264,58,367,93
"38","gente",181,64,352,150
"39","rico",187,71,333,109
"40","amigos",136,64,331,155
"41","policía",226,45,322,68
"42","tristeza",153,53,322,124
"43","niño",171,55,315,114
"44","viaje",178,56,315,104
"45","amigo",202,65,313,109
"46","campo",141,53,312,127
"47","rápido",183,56,307,110
"48","feo",161,92,306,171
"49","estudio",163,68,305,133
"50","libro",202,70,304,105
"51","fruta",238,25,299,41
"52","noche",147,43,299,95
"53","madera",144,47,294,88
"54","fuego",169,40,292,77
"55","paz",136,52,292,140
"56","playa",156,47,292,96
"57","día",189,47,291,76
"58","libertad",117,75,289,179
"59","bueno",161,77,286,152
"60","diversión",116,45,283,122
"61","libre",156,78,282,146
"62","dulce",161,48,281,89
"63","viejo",158,44,275,99
"64","fiesta",137,45,272,95
"65","poder",113,64,265,132
"66","feliz",174,64,264,112
"67","malo",144,75,263,124
"68","aire",137,61,262,105
"69","papel",140,56,261,93
"70","puerta",172,32,261,53
"71","alto",146,59,259,99
"72","árbol",163,53,259,85
"73","ayuda",143,37,259,97
"74","cielo",130,39,259,91
"75","fin",151,46,258,80
"76","peligro",123,47,257,107
"77","mucho",162,63,250,107
"78","deporte",147,46,248,78
"79","numero",191,42,246,53
"80","yo",167,100,245,146
"81","tierra",124,35,243,89
"82","pelo",163,32,242,66
"83","perro",158,48,241,81
"84","camino",99,48,238,119
"85","escuela",127,44,236,83
"86","ojos",136,37,236,65
"87","olor",116,35,236,85
"88","calle",109,42,234,114
"89","guerra",149,37,233,63
"90","avión",163,34,230,62
"91","ruido",116,45,230,91
"92","ave",176,29,228,33
"93","personas",111,56,227,131
"94","seguridad",108,44,227,98
"95","placer",121,66,226,129
"96","sexo",128,44,226,79
"97","cuerpo",136,52,221,93
"98","salud",101,42,218,101
"99","nada",138,48,216,86
"100","pelota",124,33,213,53
"101","azul",102,61,211,119
"102","enfermedad",132,38,211,69
"103","gris",69,45,211,118
"104","orden",84,50,209,112
"105","pasado",123,36,209,57
"106","descanso",98,34,208,88
"107","tranquilidad",80,34,207,110
"108","verano",80,27,205,78
"109","barco",148,24,203,41
"110","espacio",87,46,202,101
"111","instrumento",140,39,201,54
"112","cuidado",78,35,200,105
"113","pareja",101,36,200,70
"114","dos",135,31,199,55
"115","ser",120,46,199,87
"116","sonido",114,33,199,64
"117","largo",103,46,198,86
"118","mano",115,35,197,59
"119","viento",84,24,197,72
"120","conocimiento",87,39,196,91
"121","final",98,41,196,83
"122","pequeño",103,38,193,77
"123","comunicación",84,36,192,73
"124","importante",93,63,192,125
"125","saber",106,42,191,87
"126","ahora",126,31,189,61
"127","número",140,32,189,41
"128","sangre",104,37,189,76
"129","cantidad",91,32,188,70
"130","futuro",84,41,187,101
"131","arma",137,34,186,53
"132","madre",111,42,186,74
"133","amarillo",78,46,185,98
"134","cárcel",120,27,185,49
"135","fuerza",71,40,185,110
"136","cosa",129,34,184,59
"137","fuerte",86,52,184,106
"138","país",111,36,184,60
"139","risa",104,30,182,63
"140","teatro",128,20,181,32
"141","hogar",99,34,179,84
"142","chico",106,35,178,64
"143","alcohol",127,18,177,27
"144","lluvia",87,23,177,63
"145","religión",123,25,177,38
"146","todo",105,53,177,89
"147","metal",70,39,176,77
"148","oscuro",85,39,176,84
"149","uno",114,47,176,69
"150","lejos",94,31,175,75
"151","mate",118,21,175,41
"152","abrigo",107,20,171,42
"153","suerte",87,29,171,58
"154","arte",83,35,170,62
"155","ciudad",95,36,170,74
"156","ver",96,32,170,60
"157","cama",79,30,169,65
"158","movimiento",69,40,169,103
"159","caballo",122,32,168,58
"160","mentira",102,35,168,65
"161","ómnibus",118,21,168,37
"162","herramienta",103,32,167,57
"163","niños",74,39,167,82
"164","pasto",79,32,167,77
"165","hablar",108,35,166,56
"166","invierno",51,20,164,55
"167","naturaleza",53,38,164,95
"168","pájaro",121,23,163,38
"169","no",105,66,162,103
"170","colores",48,26,161,95
"171","linda",99,49,161,80
"172","nombre",98,28,161,45
"173","caminar",98,30,160,54
"174","dormir",75,22,160,51
"175","frío",93,28,159,57
"176","grupo",83,40,159,74
"177","mal",83,50,159,95
"178","sentimiento",97,51,159,79
"179","iglesia",90,22,157,33
"180","oportunidad",84,32,157,66
"181","televisión",96,21,157,53
"182","cara",110,34,155,56
"183","bebida",111,27,154,38
"184","vacaciones",59,27,154,62
"185","amistad",62,40,153,89
"186","problema",90,33,153,69
"187","transporte",82,34,153,49
"188","historia",79,34,151,76
"189","volar",88,29,151,58
"190","marrón",44,34,150,93
"191","insecto",121,15,149,18
"192","mesa",69,38,149,72
"193","teléfono",106,24,149,33
"194","película",83,43,148,77
"195","planta",113,33,148,42
"196","acción",70,43,147,93
"197","cariño",81,24,147,58
"198","difícil",94,33,147,69
"199","jefe",102,32,147,42
"200","hacer",77,37,145,67
"201","unión",67,34,145,67
"202","comer",78,46,144,79
"203","educación",82,40,144,69
"204","cumpleaños",86,26,143,42
"205","triste",60,39,143,81
"206","mente",78,28,142,58
"207","diferente",71,20,141,41
"208","corazón",76,33,140,66
"209","militar",86,33,139,41
"210","cabeza",74,32,138,60
"211","hospital",61,16,138,41
"212","palabra",93,48,138,66
"213","poco",57,27,138,75
"214","rey",105,14,138,24
"215","sonrisa",59,27,138,59
"216","verdad",83,22,138,51
"217","belleza",54,44,137,101
"218","vino",92,28,136,43
"219","dios",85,35,135,56
"220","responsabilidad",61,37,135,72
"221","vacío",79,33,135,58
"222","años",87,16,134,34
"223","dientes",63,18,134,44
"224","blanca",81,32,133,55
"225","casamiento",83,22,133,40
"226","cocina",77,30,133,59
"227","ir",88,26,133,45
"228","sucio",64,24,132,61
"229","sueño",70,23,132,57
"230","ley",72,31,131,56
"231","momento",58,22,131,64
"232","pez",106,26,131,34
"233","vaca",99,18,131,30
"234","silla",87,23,130,37
"235","esfuerzo",47,32,128,75
"236","información",50,26,128,62
"237","aburrido",61,43,127,83
"238","de",23,20,127,115
"239","meta",64,26,127,58
"240","protección",61,33,127,62
"241","arriba",89,32,126,49
"242","baile",72,25,126,52
"243","igual",80,24,126,42
"244","compromiso",54,25,125,58
"245","pensar",57,34,125,71
"246","bebe",86,25,124,47
"247","nuevo",71,29,124,52
"248","reunión",54,32,124,68
"249","carne",67,25,123,51
"250","inteligencia",54,30,123,64
"251","juez",76,20,123,33
"252","Uruguay",77,28,123,50
"253","boca",67,25,122,43
"254","estado",67,45,122,72
"255","palabras",68,29,122,53
"256","pintura",78,19,122,32
"257","roja",87,37,122,48
"258","algo",67,43,121,83
"259","soledad",43,25,121,68
"260","correr",49,32,120,68
"261","naranja",76,28,120,48
"262","fácil",83,24,119,40
"263","justicia",60,25,119,46
"264","ya",71,23,119,38
"265","cerebro",79,20,118,38
"266","computadora",75,25,118,43
"267","cultura",37,21,118,74
"268","humano",77,32,118,54
"269","pelea",76,23,118,42
"270","flores",61,17,117,41
"271","leche",61,20,117,42
"272","luna",68,22,117,39
"273","valor",56,28,117,58
"274","arena",61,20,116,45
"275","cine",62,29,116,51
"276","forma",80,20,116,36
"277","mirar",68,17,116,39
"278","redondo",53,25,116,65
"279","caliente",50,29,115,51
"280","diario",73,23,115,42
"281","salida",59,27,115,57
"282","violencia",47,29,115,57
"283","falta",66,28,114,51
"284","lápiz",65,22,114,37
