cue	response	R1	N	R1.Strength
a	b	12	46	0.260869565217391
a	letra	11	46	0.239130434782609
a	e	6	46	0.130434782608696
a	abecedario	2	46	0.0434782608695652
a	vocal	2	46	0.0434782608695652
a	aceituna	1	46	0.0217391304347826
a	América	1	46	0.0217391304347826
a	amor	1	46	0.0217391304347826
a	arroz	1	46	0.0217391304347826
a	casa	1	46	0.0217391304347826
a	hacia	1	46	0.0217391304347826
a	la	1	46	0.0217391304347826
a	nada	1	46	0.0217391304347826
a	preposición	1	46	0.0217391304347826
a	vacío	1	46	0.0217391304347826
a	ver	1	46	0.0217391304347826
a	volar	1	46	0.0217391304347826
a	vos	1	46	0.0217391304347826
abajo	arriba	21	49	0.428571428571429
abajo	debajo	4	49	0.0816326530612245
abajo	piso	3	49	0.0612244897959184
abajo	chico	2	49	0.0408163265306122
abajo	inferior	2	49	0.0408163265306122
abajo	lugar	2	49	0.0408163265306122
abajo	agachado	1	49	0.0204081632653061
abajo	ariba	1	49	0.0204081632653061
abajo	denso	1	49	0.0204081632653061
abajo	detrás	1	49	0.0204081632653061
abajo	en el fondo	1	49	0.0204081632653061
abajo	fondo	1	49	0.0204081632653061
abajo	hondo	1	49	0.0204081632653061
abajo	mesa	1	49	0.0204081632653061
abajo	opuesto arriba	1	49	0.0204081632653061
abajo	pies	1	49	0.0204081632653061
abajo	posición	1	49	0.0204081632653061
abajo	sentimiento	1	49	0.0204081632653061
abajo	subsuelo	1	49	0.0204081632653061
abajo	suelo	1	49	0.0204081632653061
abajo	tierra	1	49	0.0204081632653061
abandonar	dejar	25	51	0.490196078431373
abandonar	caer	2	51	0.0392156862745098
abandonar	solo	2	51	0.0392156862745098
abandonar	abandono	1	51	0.0196078431372549
abandonar	cruel	1	51	0.0196078431372549
abandonar	darse vuelta	1	51	0.0196078431372549
abandonar	descuidar	1	51	0.0196078431372549
abandonar	despecho	1	51	0.0196078431372549
abandonar	hijos	1	51	0.0196078431372549
abandonar	huir	1	51	0.0196078431372549
abandonar	lamentable	1	51	0.0196078431372549
abandonar	limpiar	1	51	0.0196078431372549
abandonar	madre	1	51	0.0196078431372549
abandonar	muerte	1	51	0.0196078431372549
abandonar	necesidad	1	51	0.0196078431372549
abandonar	negligencia	1	51	0.0196078431372549
abandonar	neligencia	1	51	0.0196078431372549
abandonar	niños	1	51	0.0196078431372549
abandonar	perro	1	51	0.0196078431372549
abandonar	perros	1	51	0.0196078431372549
abandonar	salir	1	51	0.0196078431372549
abandonar	soledad	1	51	0.0196078431372549
abandonar	terminar	1	51	0.0196078431372549
abandonar	triste	1	51	0.0196078431372549
abandonar	tristeza	1	51	0.0196078431372549
abanico	calor	21	51	0.411764705882353
abanico	aire	8	51	0.156862745098039
abanico	viento	4	51	0.0784313725490196
abanico	español	3	51	0.0588235294117647
abanico	amplitud	1	51	0.0196078431372549
